word,frequency
uphold,6
stormy,7
gusts,8
rage,137
eternal,40
unthrifts,2
dear,459
know,1741
had,1551
father,854
stars,84
judgement,29
pluck,111
methinks,152
have,6252
astronomy,1
good,2938
evil,68
luck,25
plagues,14
dearths,1
seasons’,1
quality,58
fortune,343
brief,92
minutes,18
pointing,4
thunder,69
rain,67
wind,206
princes,114
oft,156
predict,1
heaven,659
knowledge,81
derive,11
constant,55
them,2092
read,209
truth,340
together,276
thrive,61
wouldst,138
convert,10
prognosticate,1
truth’s,4
doom,52
date,23
consider,51
thing,392
grows,82
holds,89
perfection,29
little,525
moment,33
huge,40
stage,37
presenteth,5
nought,62
shows,116
whereon,37
secret,72
influence,12
comment,15
perceive,99
men,918
plants,15
cheered,2
even,628
self-same,19
sky,48
vaunt,3
youthful,32
height,37
decrease,3
wear,203
state,329
out,1456
conceit,47
inconstant,10
stay,444
sets,35
rich,184
before,921
wasteful,9
debateth,1
sullied,2
engraft,1
wherefore,141
mightier,9
bloody,231
tyrant,56
fortify,7
means,273
blessed,90
rhyme,30
stand,591
top,58
maiden,47
gardens,4
unset,1
virtuous,100
wish,243
liker,3
painted,59
counterfeit,53
lines,36
(time’s,1
pencil),1
pupil,11
pen,39
neither,207
inward,34
outward,57
keeps,78
drawn,90
skill,60
believe,237
verse,32
come,2625
filled,4
high,257
deserts,21
knows,221
hides,17
half,220
write,126
numbers,44
number,56
graces,51
poet,22
touches,28
ne’er,62
touched,4
earthly,39
faces,60
papers,15
(yellowed,1
age),1
scorned,3
less,225
tongue,427
rights,25
termed,2
poet’s,2
stretched,1
metre,3
antique,16
alive,95
twice,74
compare,30
temperate,9
rough,81
winds,55
shake,111
darling,5
buds,14
short,114
sometime,92
hot,171
shines,31
often,130
gold,232
complexion,46
dimmed,1
declines,4
chance,115
changing,12
course,174
untrimmed,2
fade,7
lose,216
possession,36
ow’st,1
brag,15
wand’rest,1
shade,30
long,490
breathe,66
devouring,8
blunt,54
lion’s,5
paws,3
earth,324
devour,12
brood,9
keen,25
teeth,63
fierce,41
tiger’s,1
jaws,11
burn,85
long-lived,1
phoenix,15
glad,139
sorry,98
seasons,10
fleet’st,1
whate’er,9
swift-footed,1
wide,59
fading,6
forbid,76
heinous,19
crime,17
carve,11
love’s,55
draw,214
untainted,7
allow,28
pattern,15
succeeding,10
worst,109
wrong,251
ever,650
young,456
woman’s,20
master,786
mistress,386
passion,120
heart,1055
acquainted,42
shifting,3
false,317
women’s,8
fashion,98
theirs,34
rolling,5
gilding,2
object,45
whereupon,16
gazeth,3
man,1881
hue,29
hues,1
controlling,6
steals,16
men’s,32
souls,113
amazeth,1
woman,342
wert,98
first,593
created,17
till,688
wrought,43
fell,144
a-doting,1
addition,29
defeated,4
adding,9
purpose,216
pricked,1
muse,31
stirred,1
rehearse,15
couplement,2
sun,258
moon,129
sea’s,2
gems,4
april’s,1
first-born,7
things,354
rare,64
heaven’s,15
air,194
rondure,1
hems,2
truly,173
candles,6
fixed,18
hearsay,2
sell,41
persuade,34
am,2289
furrows,1
expiate,2
cover,30
seemly,2
raiment,7
breast,115
elder,41
therefore,652
thyself,210
wary,11
bearing,78
chary,1
nurse,109
babe,44
faring,1
ill,253
presume,22
slain,137
gav’st,7
unperfect,1
actor,13
put,524
beside,38
part,549
replete,8
strength’s,1
weakens,3
trust,182
forget,96
perfect,60
ceremony,29
rite,9
strength,133
seem,193
o’ercharged,2
burthen,4
eloquence,12
dumb,50
presagers,1
speaking,47
plead,49
recompense,28
expressed,4
learn,95
silent,38
writ,109
